id,name,artifact_type,category,availability,status,primary_url,description
agent-sdks-and-general-purpose-frameworks--openai-agents-sdk,OpenAI Agents SDK,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/openai/openai-agents-python,"OpenAI Agents SDK is a Python and TypeScript framework for agents with tools, handoffs, guardrails, sessions, tracing, and sandbox-backed execution; its model interface can connect to providers beyond OpenAI."
agent-sdks-and-general-purpose-frameworks--pydanticai,PydanticAI,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/pydantic/pydantic-ai,"PydanticAI is a type-safe Python agent framework from the Pydantic team with dependency injection, validated structured outputs, tool calling, model portability, graphs, durable execution integrations, and evaluation support."
agent-sdks-and-general-purpose-frameworks--strands-agents,Strands Agents,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/strands-agents/sdk-python,"Strands Agents is a model-driven SDK initiated by AWS for building agents in Python and TypeScript with tools, hooks, sessions, multi-agent patterns, MCP support, and multiple model providers."
agent-sdks-and-general-purpose-frameworks--smolagents,smolagents,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/huggingface/smolagents,"smolagents is Hugging Face's compact Python library for tool-calling and code-writing agents, with sandbox integrations, MCP tools, multimodal models, and support for local or hosted model backends."
agent-sdks-and-general-purpose-frameworks--agno,Agno,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/agno-agi/agno,"Agno is a Python framework and runtime for constructing model-agnostic agents and teams with tools, knowledge, memory, structured outputs, reasoning controls, and an optional control-plane interface."
agent-sdks-and-general-purpose-frameworks--mastra,Mastra,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/mastra-ai/mastra,"Mastra is a TypeScript agent framework with agents, tools, graph workflows, memory, RAG, MCP, evaluation, and deployment integrations designed for server-side JavaScript applications."
agent-sdks-and-general-purpose-frameworks--dspy,DSPy,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/stanfordnlp/dspy,"DSPy is a declarative framework for programming and optimizing language-model pipelines, including tool-using agents, by compiling typed modules and examples against measurable objectives."
agent-sdks-and-general-purpose-frameworks--beeai-framework,BeeAI Framework,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/i-am-bee/beeai-framework,"BeeAI Framework is an IBM-originated Python and TypeScript framework for production-oriented agents with tools, memory, workflows, telemetry, and Agent2Agent interoperability."
agent-sdks-and-general-purpose-frameworks--claude-agent-sdk,Claude Agent SDK,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/anthropics/claude-agent-sdk-python,"Claude Agent SDK is Anthropic's Python and TypeScript library for using Claude Code's agent loop, filesystem and shell tools, hooks, context management, and subagents inside developer-operated processes."
agent-sdks-and-general-purpose-frameworks--vercel-ai-sdk,Vercel AI SDK,framework-or-library,Agent SDKs and General-Purpose Frameworks,open-source,active,https://github.com/vercel/ai,"Vercel AI SDK is a provider-agnostic TypeScript toolkit for AI applications with streaming UI primitives, structured generation, tools, and multi-step agent loops across popular web frameworks."
